"*";"base";"s"
"cn_Hamo.m";"哈默";""
"cn_Hamon.m";"哈蒙";""
"cn_Hanna.f";"哈娜";""
"cn_Hannelore.f";"哈尼洛爾";""
"cn_Hans.m";"漢斯";""
"cn_Hanse.f";"漢瑟";""
"cn_Haqam.m";"哈恰姆";""
"cn_Harald.m";"哈拉德";""
"cn_Harb.m";"哈爾巴";""
"cn_Hardwin.m";"哈爾溫";""
"cn_Harith.m";"哈里茲";""
"cn_Harold.m";"霍爾德";""
"cn_Hartlib.m";"霍爾提布";""
"cn_Hartman.m";"哈爾特曼";""
"cn_Hartnid.m";"哈爾尼德";""
"cn_Hartrad.m";"哈爾塔拉德";""
"cn_Hartung.m";"哈通";""
"cn_Harun.m";"哈倫";""
"cn_Harvey.m";"哈維";""
"cn_Hasan.m";"哈桑";""
"cn_Hashim.m";"哈斯姆";""
"cn_Hassan.m";"哈桑恩";""
"cn_Hatice.f";"哈提斯";""
"cn_Hatim.m";"哈提姆";""
"cn_Havtore.m";"哈維托爾";""
"cn_Hawa.f";"哈娃";""
"cn_Hawise.f";"哈薇斯";""
"cn_Hawiz.m";"哈維斯";""
"cn_Hawqal.m";"哈維恰";""
"cn_Hayal.f";"哈亞爾";""
"cn_Haygashot.m";"哈亞格肖特";""
"cn_Hayk.m";"哈亞克";""
"cn_Haytham.m";"哈耶薩姆";""
"cn_Hayton.m";"哈耶頓";""
"cn_Hazm.m";"哈茲姆";""
"cn_Hecene.m";"海瑟尼";""
"cn_Hedvig.f";"海蒂格";""
"cn_Hedwig.f";"海薇歌";""
"cn_Hedwige.f";"海瓦格";""
"cn_Heidenrich.m";"海德里希";""
"cn_Heila.f";"海拉";""
"cn_Heilyn.m";"海林";""
"cn_Heinrek.m";"海爾尼克";""
"cn_Heinrich.m";"海因里希";""
"cn_Heiwig.f";"海威格";""
"cn_Hektor.m";"海克托";""
"cn_Helen.f";"海倫";""
"cn_Helena.f";"海琳娜";""
"cn_Helene.f";"海勒妮";""
"cn_Helewisa.f";"海勒維薩";""
"cn_Helga.f";"海爾嘉";""
"cn_Helias.m";"海拉斯";""
"cn_Helie.f";"海勒";""
"cn_Helion.m";"海里翁";""
"cn_Helka.f";"赫爾卡";""
"cn_Hellenboldus.m";"哈倫波杜斯";""
"cn_Hellenbrecht.m";"哈倫布徹特";""
"cn_Helmold.m";"赫爾莫德";""
"cn_Helvide.f";"赫爾維德";""
"cn_Helvig.f";"赫爾薇格";""
"cn_Helvis.f";"赫爾維斯";""
"cn_Hemming.m";"赫爾明";""
"cn_Hemon.m";"赫蒙";""
"cn_Hempel.m";"哈帕爾";""
"cn_Hendric.m";"哈迪里克";""
"cn_Henning.m";"亨寧";""
"cn_Henrdiqeta.f";"亨爾蒂奇妲";""
"cn_Henri.m";"亨里";""
"cn_Henricus.m";"亨里克斯";""
"cn_Henrik.m";"亨里克";""
"cn_Henrique.m";"亨里恰";""
"cn_Henry.m";"亨利";""
"cn_Henryk.m";"亨瑞克";""
"cn_Herbert.m";"赫爾伯特";""
"cn_Herberti.m";"赫爾貝里特";""
"cn_Herbord.m";"赫爾波德";""
"cn_Herburg.f";"赫茲伯";""
"cn_Herdegen.m";"赫爾德根";""
"cn_Herdis.f";"赫爾迪斯";""
"cn_Herfast.m";"赫爾法斯特";""
"cn_Herleva.f";"赫爾勒娃";""
"cn_Herlinde.f";"赫爾琳德";""
"cn_Herluka.f";"赫爾庫拉";""
"cn_Herman.m";"赫爾曼";""
"cn_Hermann.m";"赫爾曼尼";""
"cn_Hermesent.f";"赫爾莫森特";""
"cn_Herrad.f";"赫拉德";""
"cn_Herterich.m";"赫爾特里奇";""
"cn_Hertwig.m";"赫爾特維格";""
"cn_Herve.m";"赫爾夫";""
"cn_Hervey.m";"赫爾維";""
"cn_Herwyg.m";"赫爾維格";""
"cn_Hethum.m";"赫爾穆";""
"cn_Hew.m";"赫烏";""
"cn_Heward.m";"荷瓦爾德";""
"cn_Hewig.f";"和維格";""
"cn_Hextilda.f";"雜湊提妲";""
"cn_Hilal.m";"希拉爾";""
"cn_Hilde.f";"希德";""
"cn_Hildebrand.m";"希德布蘭德";""
"cn_Hildebrande.m";"希德布蘭德尼";""
"cn_Hildegard.f";"希德格拉德";""
"cn_Hildegarde.f";"希德格拉德尼";""
"cn_Hildegonde.f";"希爾德加德";""
"cn_Hildegund.f";"希爾德加蒙";""
"cn_Hildenbrand.m";"希爾登布蘭";""
"cn_Hildiger.m";"希爾迪格爾";""
"cn_Hilduin.m";"希爾杜因";""
"cn_Hilush.f";"希爾烏什";""
"cn_Himas.m";"西馬斯";""
"cn_Hindi.f";"辛迪";""
"cn_Hisham.m";"希沙姆";""
"cn_Hizam.m";"希扎姆";""
"cn_Hizir.m";"西澤爾";""
"cn_Hocine.m";"西奧因尼";""
"cn_Hodierna.f";"霍迪爾娜";""
"cn_Hodos.m";"霍多思";""
"cn_Hoel.m";"霍爾";""
"cn_Hoelun.f";"霍爾倫";""
"cn_Holmfrid.f";"霍爾米弗瑞德";""
"cn_Holmger.m";"霍爾摩戈爾";""
"cn_Holophira.f";"霍洛夫拉";""
"cn_Honorius.m";"霍諾爾烏斯";""
"cn_Hossain.m";"侯賽因";""
"cn_Hotula.m";"侯圖拉";""
"cn_Houari.m";"侯拉里";""
"cn_Hovhannes.m";"霍夫漢內斯";""
"cn_Hovhannes_Smbat.m";"霍夫漢內斯-薩巴特";""
"cn_Hovsep.m";"霍維斯普";""
"cn_Howel.m";"霍維爾";""
"cn_Hranislav.m";"赫拉尼斯拉夫";""
"cn_Hrolf.m";"霍洛夫";""
"cn_Hubert.m";"胡伯特";""
"cn_Hubertus.m";"胡伯爾圖斯";""
"cn_Hudayda.m";"胡戴達";""
"cn_Huet.m";"胡埃特";""
"cn_Hugaert.m";"胡佳爾特";""
"cn_Huge.m";"胡格";""
"cn_Hugh.m";"休";""
"cn_Hughes.m";"修格斯";""
"cn_Hugleik.m";"修格里克";""
"cn_Hugo.m";"雨果";""
"cn_Hugolina.f";"修格琳娜";""
"cn_Hugues.m";"修格尼斯";""
"cn_Huig.m";"修戈";""
"cn_Huistean.m";"惠斯蒂恩";""
"cn_Hujr.m";"侯季爾";""
"cn_Hulegu.m";"侯勒古";""
"cn_Humai.m";"侯邁";""
"cn_Humbert.m";"胡姆波特";""
"cn_Hume.m";"胡姆";""
"cn_Humphrey.m";"胡姆弗雷";""
"cn_Hunayn.m";"胡納因";""
"cn_Hunold.m";"胡爾德";""
"cn_Hunydd.f";"胡耶迪";""
"cn_Hurrey.m";"休雷";""
"cn_Husam.m";"胡薩姆";""
"cn_Husayn.m";"侯賽因";""
"cn_Hushang.m";"胡桑";""
"cn_Husik.m";"休斯克";""
"cn_Hussain.m";"休撒因";""
"cn_Huys.m";"休斯";""
"cn_Hvarflod.f";"哈夫勒沃妲";""
"cn_Hwfa.m";"哈瓦夫";""
"cn_Hypomone.f";"哈珀莫妮";""
"cn_Hywel.m";"哈維爾";""
"cn_Iacopo.m";"亞科博";""
"cn_Iadgar.m";"雅加爾";""
"cn_Iago.m";"雅各";""
"cn_Iain.m";"依萊恩";""
"cn_Iames.m";"伊姆斯";""
"cn_Ian.m";"伊恩";""
"cn_Iaroslav.m";"雅羅斯拉夫";""
"cn_Ibrahim.m";"亞巴西姆";""
"cn_Ida.f";"亞達";""
"cn_Ide.f";"亞德";""
"cn_Ided.m";"伊帝德";""
"cn_Idi.m";"伊迪";""
"cn_Idid.m";"伊迪德";""
"cn_Idlal.f";"伊迪爾";""
"cn_Idnerth.m";"伊德尼爾斯";""
"cn_Idoine.f";"伊德妮";""
"cn_Idonea.f";"伊多妮婭";""
"cn_Idris.m";"伊德尼斯";""
"cn_Idwal.m";"伊德瓦爾";""
"cn_Idwallon.m";"伊德瓦倫";""
"cn_Iestyn.m";"葉斯廷";""
"cn_Ieuaf.m";"葉阿夫";""
"cn_Ieuan.m";"葉延";""
"cn_Ievna.f";"葉娃娜";""
"cn_Ifor.m";"葉弗爾";""
"cn_Iftikhar.m";"葉弗提卡爾";""
"cn_Ignatios.m";"葉格那提奧斯";""
"cn_Ignjat.m";"伊格尼亞特";""
"cn_Igor.m";"伊戈爾";""
"cn_Igraine.f";"伊格妮";""
"cn_Iha.f";"伊哈";""
"cn_Ihon.m";"伊霍恩";""
"cn_Ihtizaz.f";"伊霍提扎";""
"cn_Ijliyah.f";"伊利耶赫";""
"cn_Ikhtiyar.m";"伊克地耶";""
"cn_Ilario.m";"伊拉里奧";""
"cn_Ilbani.m";"伊班尼";""
"cn_Ilbert.m";"伊博爾特";""
"cn_Ilchi.m";"伊奇";""
"cn_Ildaria.f";"伊達利婭";""
"cn_Ilduara.f";"伊杜阿菈";""
"cn_Ilga.m";"伊爾加";""
"cn_Ilghazi.m";"伊爾加齊";""
"cn_Iliaz.m";"伊利亞茲";""
"cn_Illyr.m";"伊利爾";""
"cn_Ilma.f";"伊瑪";""
"cn_Ilmarinen.m";"伊馬瑞恩";""
"cn_Ilona.f";"伊隆納";""
"cn_Ilya.m";"伊利亞";""
"cn_Ilyas.m";"伊亞斯";""
"cn_Imad.m";"伊馬德";""
"cn_Imbert.m";"伊貝爾特";""
"cn_Imran.m";"伊姆蘭";""
"cn_Imre.m";"伊米爾";""
"cn_Imrich.m";"伊米里奇";""
"cn_Inan.f";"伊蘭";""
"cn_Inari.f";"伊菈妮";""
"cn_Ine.f";"伊妮";""
"cn_Ines.f";"伊妮斯";""
"cn_Inga.f";"伊嘉";""
"cn_Ingardis.f";"伊加爾迪斯";""
"cn_Inge.m";"伊格";""
"cn_Ingeborg.f";"英格堡";""
"cn_Ingegard.f";"英葛加德";""
"cn_Ingegerd.f";"英葛杰德";""
"cn_Ingeramium.m";"英格拉西姆";""
"cn_Ingerd.f";"英格爾德";""
"cn_Ingigerd.f";"英基格爾德";""
"cn_Ingigerda.f";"英基格爾妲";""
"cn_Ingram.m";"英格拉姆";""
"cn_Ingrid.f";"英格麗德";""
"cn_Ingvar.m";"英瓦爾";""
"cn_Inkeri.f";"英基莉";""
"cn_Innocent.m";"英諾森";""
"cn_Ioan.m";"英諾恩";""
"cn_Ioan_Aleksandar.m";"英諾恩-亞歷山大";""
"cn_Ioan_Stefan.m";"英諾恩-斯蒂凡";""
"cn_Ioann.m";"約安";""
"cn_Ioanne.m";"伊恩尼";""
"cn_Ioannes.m";"伊恩尼斯";""
"cn_Ioannitsa.m";"伊恩尼斯塔";""
"cn_Ioasaf.m";"伊薩夫";""
"cn_Iocyn.m";"伊欣";""
"cn_Iohannes.m";"伊漢尼斯";""
"cn_Iohn.m";"伊約恩";""
"cn_Iolanda.f";"伊蘭妲";""
"cn_Iolo.m";"伊洛";""
"cn_Iorwerth.m";"伊爾維茲";""
"cn_Ioveta.f";"伊奧維塔";""
"cn_Ipatios.m";"伊帕提奧斯";""
"cn_Irakli.m";"伊拉齊";""
"cn_Irena.f";"伊蕾娜";""
"cn_Irina.f";"伊麗娜";""
"cn_Irmeltrud.f";"伊莫圖爾德";""
"cn_Irmengard.f";"伊蒙加德";""
"cn_Irmgard.f";"伊莫加德";""
"cn_Irtash.m";"伊拉塔什";""
"cn_Isa.m";"伊薩";""
"cn_Isaak.m";"伊薩克";""
"cn_Isaakios.m";"伊薩可奧斯";""
"cn_Isabeau.f";"伊薩拜烏";""
"cn_Isabel.f";"伊莎貝爾";""
"cn_Isabella.f";"伊莎貝拉";""
"cn_Isabelle.f";"伊莎貝勒";""
"cn_Isaiah.m";"伊薩艾";""
"cn_Isaias.m";"伊薩阿斯";""
"cn_Isarts.m";"伊薩爾特斯";""
"cn_Isembard.m";"伊森布拉德";""
"cn_Isentrud.f";"伊森圖爾德";""
"cn_Iseult.f";"伊瑟特";""
"cn_Ishaq.m";"伊沙克";""
"cn_Ishraq.f";"伊莎琪";""
"cn_Ishush.f";"伊舒什";""
"cn_Isidore.m";"伊瑟多爾";""
"cn_Isidoros.m";"伊瑟多魯斯";""
"cn_Iskandar.m";"伊斯坎德爾";""
"cn_Ismah.f";"伊斯馬什";""
"cn_Ismail.m";"伊斯麥爾";""
"cn_Ismar.m";"伊薩馬爾";""
"cn_Isoarda.f";"伊索拉妲";""
"cn_Isobel.f";"伊索貝爾";""
"cn_Isolda.f";"伊索妲";""
"cn_Issad.m";"以撒德";""
"cn_Issouf.m";"伊索夫";""
"cn_Istvan.m";"伊斯維坦";""
"cn_Ite.f";"伊特";""
"cn_Ithel.m";"伊特爾";""
"cn_Itimad.f";"伊提馬德";""
"cn_Iud_ki.m";"伊德奇";""
"cn_Iuga.m";"伊加";""
"cn_Iuliana.f";"伊莉亞娜";""
"cn_Ivan.m";"伊凡";""
"cn_Ivan_Aleksandar.m";"伊凡-亞歷山大";""
"cn_Ivan_Asen.m";"伊凡-阿森";""
"cn_Ivan_Shishman.m";"伊凡-希什曼";""
"cn_Ivan_Stratsimir.m";"伊凡-史拉特辛米爾";""
"cn_Ivane.m";"伊凡尼";""
"cn_Ivane_Qvarqvare.m";"伊凡尼-齊瓦恰維爾";""
"cn_Ivanish.m";"伊凡尼什";""
"cn_Ivanka.f";"伊凡卡";""
"cn_Ivanko.m";"伊凡科";""
"cn_Ivar.m";"伊瓦爾";""
"cn_Ivats.m";"伊維茲";""
"cn_Ivaylo.m";"伊瓦伊洛";""
"cn_Ives.m";"伊瓦斯";""
"cn_Ivo.m";"伊瓦沃";""
"cn_Iwerydd.f";"伊瓦德";""
"cn_Iyad.m";"伊阿德";""
"cn_Iye.m";"伊尼";""
"cn_Iza.f";"伊扎";""
"cn_Izarns.m";"伊扎恩斯";""
"cn_Izyaslav.m";"伊扎亞拉夫";""
"cn_Izz.m";"伊茲";""
"cn_Izzeddin.m";"伊澤丁";""
"cn_Ja_far.m";"賈法爾";""
"cn_Jaak.m";"賈阿克";""
"cn_Jaako.m";"亞科";""
"cn_Jacob.m";"雅各布";""
"cn_Jacoba.f";"雅克巴";""
"cn_Jacobi.m";"雅可比";""
"cn_Jacobus.m";"雅可布斯";""
"cn_Jacopo.m";"雅可波";""
"cn_Jacques.m";"雅可恰斯";""
"cn_Jadaron.m";"雅丹龍";""
"cn_Jaddvor.f";"亞德沃爾";""
"cn_Jadi.f";"亞迪";""
"cn_Jadviga.f";"亞迪維嘉";""
"cn_Jadwiga.f";"雅德維加";""
"cn_Jaen.m";"基恩";""
"cn_Jafrez.m";"加弗爾茲";""
"cn_Jagoda.f";"賈格達";""
"cn_Jahan.m";"加翰";""
"cn_Jahm.m";"加姆";""
"cn_Jahwar.m";"加瓦爾";""
"cn_Jaida.f";"加艾妲";""
"cn_Jakab.m";"賈卡巴";""
"cn_Jakha.m";"賈卡哈";""
"cn_Jakob.m";"雅克布";""
"cn_Jakov.m";"嘉科夫";""
"cn_Jakub.m";"賈克布";""
"cn_Jalaf.m";"賈拉夫";""
"cn_Jalal.m";"札蘭丁";""
"cn_Jalid.m";"加萊迪";""
"cn_Jalida.f";"佳莉妲";""
"cn_Jalil.m";"加里";""
"cn_Jalmari.m";"賈馬里";""
"cn_James.m";"詹姆斯";""
"cn_Jamila.f";"賈米拉";""
"cn_Jamukha.m";"札木合";""
"cn_Jan.m";"簡";""
"cn_Jane.f";"簡妮";""
"cn_Janed.f";"簡妮德";""
"cn_Janet.f";"杰妮特";""
"cn_Jani.m";"杰尼";""
"cn_Janos.m";"簡奧斯";""
"cn_Janusz.m";"亞努什";""
"cn_Jaqir.m";"亞邱爾";""
"cn_Jaques.m";"賈克斯";""
"cn_Jaquinta.f";"亞昆塔";""
"cn_Jarir.m";"亞日珥";""
"cn_Jaromar.m";"亞爾馬爾";""
"cn_Jasper.m";"亞斯帕";""
"cn_Jaufre.m";"若弗雷";""
"cn_Jaufres.m";"若弗雷斯";""
"cn_Jaume.m";"賈米";""
"cn_Jaune.f";"賈恩";""
"cn_Jaunutis.m";"賈恩提烏斯";""
"cn_Jawnuta.m";"賈溫塔";""
"cn_Jayr.m";"傑爾";""
"cn_Jayrun.m";"杰倫";""
"cn_Jaythama.m";"杰薩瑪";""
"cn_Jean.f";"簡恩";""
"cn_Jean.m";"吉恩";""
"cn_Jeanne.f";"詹妮";""
"cn_Jebe.m";"杰布";""
"cn_Jeffrey.m";"杰弗里";""
"cn_Jefimija.f";"杰費米嘉";""
"cn_Jehan.m";"杰罕";""
"cn_Jehanne.f";"珍妮";""
"cn_Jehans.m";"杰漢斯";""
"cn_Jehona.f";"珍娜";""
"cn_Jelena.f";"杰勒娜";""
"cn_Jelisaveta.f";"耶利薩維塔";""
"cn_Jenico.m";"杰尼克";""
"cn_Jennet.f";"珍妮特";""
"cn_Jens.m";"基安斯";""
"cn_Jeremijs.m";"傑里米吉斯";""
"cn_Jerik.m";"吉爾力克";""
"cn_Jerina.f";"吉爾娜";""
"cn_Jeronymus.m";"耶羅尼米斯";""
"cn_Jerzy.m";"傑西";""
"cn_Jessiana.f";"杰茜亞娜";""
"cn_Jezabel.f";"杰澤貝爾";""
"cn_Jidr.m";"季迪爾";""
"cn_Jigda.f";"基達";""
"cn_Jikur.m";"季庫爾";""
"cn_Jilim.m";"吉利姆";""
"cn_Jimena.f";"季美娜";""
"cn_Jimeno.m";"吉美諾";""
"cn_Jindrich.m";"基迪里奇";""
"cn_Jingue.m";"金格";""
"cn_Jngibiargh.f";"吉依比阿爾喀";""
"cn_Joab.m";"吉阿布";""
"cn_Joachim.m";"約阿希";""
"cn_Joakim.m";"約阿奇";""
"cn_Joan.f";"瓊";""
"cn_Joanna.f";"瓊娜";""
"cn_Joannicios.m";"瓊納尼西奧斯";""
"cn_Joans.m";"瓊尼斯";""
"cn_Joao.m";"若昂";""
"cn_Joasaph.m";"若阿薩普";""
"cn_Job.m";"喬布";""
"cn_Jochi.m";"朮赤";""
"cn_Jofroi.m";"喬弗瑞";""
"cn_Jogaila.m";"雅蓋沃";""
"cn_Johan.m";"約漢";""
"cn_Johanna.f";"約翰娜";""
"cn_Johanne.m";"約翰尼";""
"cn_Johannes.m";"約翰內斯";""
"cn_Johans.m";"約翰斯";""
"cn_John.m";"約翰";""
"cn_Johnne.m";"強尼";""
"cn_Jolan.f";"約爾蘭";""
"cn_Joma.m";"約馬";""
"cn_Jon.m";"喬恩";""
"cn_Jonas.m";"喬納斯";""
"cn_Jonet.f";"喬內特";""
"cn_Jons.m";"喬恩斯";""
"cn_Joos.m";"約斯";""
"cn_Joost.m";"約斯特";""
"cn_Jordan.m";"喬丹";""
"cn_Jordas.m";"喬達斯";""
"cn_Jorge.m";"喬爾治";""
"cn_Joris.m";"喬瑞斯";""
"cn_Josce.m";"喬奧克";""
"cn_Joscelin.m";"約斯林";""
"cn_Joseph.m";"約瑟夫";""
"cn_Josepha.f";"約瑟法";""
"cn_Josse.m";"約瑟";""
"cn_Jost.m";"朱斯特";""
"cn_Joukahainen.m";"尤卡海寧";""
"cn_Jovan.m";"喬溫";""
"cn_Joyce.f";"奇奧斯";""
"cn_Jozef.m";"喬茲弗";""
"cn_Juan.m";"朱安";""
"cn_Juana.f";"朱安娜";""
"cn_Juba.m";"朱巴";""
"cn_Jubayr.m";"朱巴耶爾";""
"cn_Jude.m";"祖德";""
"cn_Judith.f";"祖迪斯";""
"cn_Juditha.f";"祖迪希婭";""
"cn_Julia.f";"茱莉亞";""
"cn_Julian.f";"茱莉安";""
"cn_Julian.m";"朱利安";""
"cn_Juliana.f";"茱莉安娜";""
"cn_Juliane.f";"茱莉安妮";""
"cn_Julianus.m";"尤里安";""
"cn_Julie.f";"尤麗妮";""
"cn_Julius.m";"尤里烏斯";""
"cn_Jumana.f";"尤里瑪娜";""
"cn_Jumghur.m";"朱姆胡爾";""
"cn_Junayd.m";"朱奈德";""
"cn_Juodikis.m";"約奧迪基斯";""
"cn_Jupp.m";"賈普";""
"cn_Juraj.m";"尤拉伊";""
"cn_Jurg.m";"朱格";""
"cn_Jurgis.m";"吉蓋";""
"cn_Justina.f";"賈斯蒂娜";""
"cn_Justinus.m";"尤斯蒂努斯";""
"cn_Jutta.f";"尤妲";""
"cn_Juwayriyyah.f";"朱韋麗婭";""
"cn_Juzayy.m";"朱扎伊";""
"cn_Jwar.m";"朱瓦爾";""
"cn_Kaba.m";"卡巴";""
"cn_Kabala.m";"卡巴拉";""
"cn_Kachatour.m";"卡察托爾";""
"cn_Kachir.m";"卡吉爾";""
"cn_Kadai.m";"卡戴";""
"cn_Kadak.m";"卡達克";""
"cn_Kadan.m";"卡丹";""
"cn_Kade.m";"卡德";""
"cn_Kadi.m";"卡迪";""
"cn_Kafat.f";"卡法特";""
"cn_Kagan.m";"卡甘";""
"cn_Kaidu.m";"凱度";""
"cn_Kaikhosro.m";"凱克霍斯洛";""
"cn_Kakas.m";"卡加斯";""
"cn_Kakha.m";"卡克哈";""
"cn_Kakhaber.m";"卡克哈貝爾";""
"cn_Kalabi.m";"卡爾阿比";""
"cn_Kalan.m";"卡爾蘭";""
"cn_Kaleva.m";"卡爾勒瓦";""
"cn_Kaliman.m";"卡里曼";""
"cn_Kaliman_Asen.m";"克里曼-阿森";""
"cn_Kalina.f";"卡麗娜";""
"cn_Kalman.m";"卡爾曼";""
"cn_Kalojan.m";"卡洛揚";""
"cn_Kalota.m";"卡洛塔";""
"cn_Kaloyan.m";"卡洛然";""
"cn_Kaltrina.f";"卡爾特里娜";""
"cn_Kamadia.m";"卡馬迪亞";""
"cn_Kamal.m";"卡馬爾";""
"cn_Kamel.m";"卡梅爾";""
"cn_Kamignogo.m";"凱米葛諾戈";""
"cn_Kamil.m";"凱米爾";""
"cn_Kanga.f";"坎加";""
"cn_Kankan.m";"坎罕";""
"cn_Kanz.m";"坎茲";""
"cn_Kaocen.m";"考茨恩";""
"cn_Karapet.m";"卡爾阿佩特";""
"cn_Karekin.m";"卡雷欣";""
"cn_Karel.m";"卡雷爾";""
"cn_Kaributas.m";"卡里布塔斯";""
"cn_Karigaila.m";"卡里加拉";""
"cn_Karijotas.m";"卡里約塔斯";""
"cn_Karim.m";"卡里姆";""
"cn_Karima.f";"卡莉瑪";""
"cn_Karin.f";"卡琳";""
"cn_Karl.m";"卡爾";""
"cn_Karles.m";"卡爾雷斯";""
"cn_Karloman.m";"卡爾羅曼";""
"cn_Karol.m";"卡羅爾";""
"cn_Karoly.m";"卡洛里";""
"cn_Kashin.m";"卡辛";""
"cn_Kashush.f";"卡舒什";""
"cn_Kasimir.m";"卡斯米爾";""
"cn_Kaspar.m";"卡斯帕爾";""
"cn_Kassa.m";"卡撒";""
"cn_Kassi.f";"卡茜";""
"cn_Kata.f";"卡妲";""
"cn_Katakalon.m";"卡塔克隆";""
"cn_Katalin.f";"卡塔琳";""
"cn_Katalina.f";"卡塔琳娜";""
"cn_Katapan.m";"卡塔潘";""
"cn_Katarina.f";"卡特琳娜";""
"cn_Katarzyna.f";"卡塔知娜";""
"cn_Katchou.m";"卡塔岑";""
"cn_Kateb.m";"卡特波";""
"cn_Katerina.f";"卡特里娜";""
"cn_Katerine.f";"卡特里妮";""
"cn_Katharina.f";"卡薩爾麗娜";""
"cn_Katherina.f";"卡瑟爾麗娜";""
"cn_Katherine.f";"凱瑟琳";""
"cn_Kathreine.f";"凱瑟里妮";""
"cn_Katranide.f";"凱瑟妮德";""
"cn_Kaunutis.m";"卡烏提斯";""
"cn_Kavtar.m";"卡瓦塔爾";""
"cn_Kavus.m";"考斯";""
"cn_Kaykaus.m";"考卡斯";""
"cn_Kayqubad.m";"凱科巴德";""
"cn_Kazimierz.m";"卡茲米爾";""
"cn_Keled.m";"克勒德";""
"cn_Kelemenes.m";"卡勒門尼斯";""
"cn_Kenez.m";"卡尼次";""
"cn_Kenna.f";"坎娜";""
"cn_Kenna_Joanna.f";"坎娜-喬安娜";""
"cn_Kenneth.m";"坎尼斯";""
"cn_Keran.f";"卡然";""
"cn_Keratsa.f";"卡拉斯妲";""
"cn_Keratsa_Maria.f";"卡拉斯妲-瑪利亞";""
"cn_Kerbogha.m";"凱爾波加";""
"cn_Kerimeddin.m";"凱爾門丁";""
"cn_Kermac.m";"凱爾馬克";""
"cn_Kernabes.m";"凱爾納貝斯";""
"cn_Kerttu.f";"凱爾圖";""
"cn_Kestutis.m";"凱斯圖提斯";""
"cn_Keteleny.m";"凱特雷尼";""
"cn_Ketilbjorn.m";"凱提伯約恩";""
"cn_Keykavus.m";"凱考斯";""
"cn_Keykhusrev.m";"凱考斯瑞夫";""
"cn_Keykubad.m";"凱庫巴德";""
"cn_Khabul.m";"合不勒";""
"cn_Khachi.m";"哈奇";""
"cn_Khachik.m";"哈奇克";""
"cn_Khaizuran.f";"凱祖然";""
"cn_Khalaf.m";"凱拉夫";""
"cn_Khaldun.m";"凱爾頓";""
"cn_Khalid.m";"凱立德";""
"cn_Khalida.f";"凱利妲";""
"cn_Khalifa.m";"凱里法";""
"cn_Khalil.m";"凱利爾";""
"cn_Kharmil.m";"凱爾米爾";""
"cn_Khasar.m";"凱撒爾";""
"cn_Khawja.m";"凱瓦加";""
"cn_Khayr.m";"凱亞爾";""
"cn_Khayra.f";"凱亞菈";""
"cn_Khetoane.f";"凱托阿妮";""
"cn_Khidr.m";"凱迪爾";""
"cn_Khimshia.m";"凱米西亞";""
"cn_Khizr.m";"凱米茲";""
"cn_Khoren.m";"凱洛然";""
"cn_Khorishah.f";"霍里莎";""
"cn_Khosrau.m";"霍斯勞";""
"cn_Khosrov.m";"庫斯洛夫";""
"cn_Khuand.m";"凱昂德";""
"cn_Khuashak.f";"凱烏莎卡";""
"cn_Khuddan.m";"胡姆丹";""
"cn_Khulan.f";"胡蘭";""
"cn_Khultulun.f";"庫里土倫";""
"cn_Khwaja.m";"庫瓦加";""
"cn_Khwaju.m";"庫瓦基";""
"cn_Kikkor.m";"奇科特";""
"cn_Kilij.m";"奇里基";""
"cn_Kilit.m";"奇里特";""
"cn_Kimmo.m";"奇莫";""
"cn_Kinga.f";"金珈";""
"cn_Kintiboud.m";"庫提邦德";""
"cn_Kintibutas.m";"金提布塔斯";""
"cn_Kiprian.m";"金普蘭";""
"cn_Kira.f";"齊菈";""
"cn_Kirakos.m";"乞剌可斯";""
"cn_Kiril.m";"齊里";""
"cn_Kirsten.f";"克斯汀";""
"cn_Kitbugha.m";"克布古哈";""
"cn_Kitenii.m";"季提尼";""
"cn_Kiurike.m";"基烏爾科";""
"cn_Kizil.m";"克孜爾";""
"cn_Kjeld.m";"克杰德";""
"cn_Klaas.m";"克拉斯";""
"cn_Klara.f";"克拉拉";""
"cn_Klas.m";"克萊斯";""
"cn_Klementina.f";"科勒蒙迪娜";""
"cn_Kliment.m";"奇蒙特";""
"cn_Knave.m";"克耐夫";""
"cn_Knud.m";"庫努德";""
"cn_Knut.m";"克努特";""
"cn_Ko_agjin.f";"古朗基";""
"cn_Kobiak.m";"科比阿克";""
"cn_Kocopar.m";"柯孔帕爾";""
"cn_Koja.m";"科賈";""
"cn_Kokachin.f";"闊闊真";""
"cn_Kokejin.f";"闊克岑";""
"cn_Kol.m";"科爾";""
"cn_Kolbeinn.m";"科爾比恩";""
"cn_Koloman.m";"科勒曼";""
"cn_Kolonkan.f";"科勒坎";""
"cn_Kolr.m";"克羅爾";""
"cn_Komin.m";"科明";""
"cn_Komitas.m";"科米塔斯";""
"cn_Konan.m";"科南";""
"cn_Kondolon.f";"科多隆";""
"cn_Kone.f";"科尼";""
"cn_Konrad.m";"康拉德";""
"cn_Konstandin.m";"康斯坦丁";""
"cn_Konstantin.m";"康斯坦汀";""
"cn_Konstantin_Asen.m";"康斯坦汀-阿森";""
"cn_Konstantinos.m";"康斯坦丁諾斯";""
"cn_Konstanza.f";"康斯坦妲";""
"cn_Kopasz.m";"康斯帕茲";""
"cn_Korike.m";"康力克";""
"cn_Kornelis.m";"柯爾尼里斯";""
